,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1989-10-04,1.0,1.0,0.0,0.0,3.94,5.3,13.581,1410.0,99.70527,6.2,0.8,2.9,7.283,9.0,3.6,-0.010000000000000231,0.09999999999999964,-2.966000000000001,78.0,0.016949999999994247,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,0.10000000000000009,351.2333553035085,103.22729191663788,10.5,-0.1406464195609317,-0.0747457185784601,0.0
1989-11-15,1.0,1.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,6.2,0.8,2.9,7.283,9.0,3.5,0.1200000000000001,0.10000000000000053,-2.290000000000001,72.0,0.03794000000000608,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,0.10000000000000009,351.762709174722,101.06427204972607,10.5,-0.24458789747406492,-0.060533037302718605,0.0
1989-12-20,1.0,1.0,0.0,0.0,3.94,5.4,13.55,1251.0,99.75903,6.2,0.8,2.9,7.283,8.5,3.5,0.0,0.10000000000000053,-0.030999999999998806,-159.0,0.05375999999999692,0.0,0.0,0.0,0.0,-0.5,-0.10000000000000009,336.84104821156643,99.12340643931243,10.5,0.22093402053235528,-0.06403329248389317,0.0
1990-02-08,1.0,1.0,0.0,-1.0,3.82,5.3,14.363,1437.0,99.82359,18.5,4.4,4.4,7.356,8.25,4.1,-0.1200000000000001,-0.10000000000000053,0.8129999999999988,186.0,0.06456000000000017,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.25,0.5999999999999996,355.7904111183296,94.59196589841682,10.622881355932204,-0.44978617540512217,-0.04334656822967091,-0.012711864406779667
1990-03-28,1.0,1.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,18.5,4.4,4.4,7.356,8.25,3.7,0.10000000000000009,-0.20000000000000018,-1.8219999999999992,-262.0,0.029409999999998604,0.0,0.0,0.0,0.0,0.0,-0.39999999999999947,326.64059381000067,91.67189928475072,10.0,0.22593513814278487,0.044949160675637596,0.0
1990-05-16,1.0,1.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,5.1,1.5,4.6,7.391,8.25,3.4,-0.15000000000000036,0.20000000000000018,-0.4640000000000004,-77.0,-0.2485499999999945,-13.4,-2.9000000000000004,0.1999999999999993,0.03500000000000014,0.0,-0.30000000000000027,340.0050177622649,94.49479843398271,10.0,-0.019138550660820614,-0.04301757634138924,0.0
1990-07-05,1.0,1.0,0.0,0.0,3.96,5.5,14.081,1171.0,98.88528,3.1,0.3,3.5,7.377,8.25,3.4,0.16000000000000014,0.09999999999999964,0.058999999999999275,-41.0,-0.6888200000000069,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,0.0,350.4308670302569,91.8903399709928,10.0,0.2146749419541751,0.005359411992084515,0.0
1990-08-22,1.0,1.0,1.0,0.0,4.14,5.7,13.859,1115.0,98.40642,3.1,0.3,3.5,7.377,8.25,4.6,0.19999999999999973,0.5,-0.28999999999999915,-62.0,-0.8786000000000058,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,0.7999999999999998,366.1978987354343,92.08382952415337,10.0,-0.4768884726813635,-0.10310107598452455,0.0
1990-10-03,1.0,1.0,1.0,0.0,4.13,5.9,14.298,1110.0,97.9221,3.1,0.3,3.5,7.377,8.0,4.7,-0.009999999999999787,0.20000000000000018,0.43900000000000006,-5.0,-0.48431999999999675,0.0,0.0,0.0,0.0,-0.25,0.10000000000000053,338.5601301807468,86.89418775914079,10.0,-0.5609747703280248,-0.022593248858917267,0.0
1990-11-14,1.0,1.0,1.0,0.0,3.88,6.2,13.134,1145.0,97.21283,3.6,-3.6,3.0,7.303,8.0,4.7,-0.25,0.2999999999999998,-1.1639999999999997,35.0,-0.7092700000000036,0.5,-3.9,-0.5,-0.07399999999999984,0.0,0.0,310.7474065748312,86.11447384074583,10.0,-0.06033723118847261,-0.07950552623220387,0.0
