,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1989-10-04,1.0,1.0,0.0,0.0,3.94,5.3,13.581,1410.0,99.70527,6.2,0.8,2.9,7.283,9.0,3.6,-0.010000000000000231,0.09999999999999964,-2.966000000000001,78.0,0.016949999999994247,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,0.10000000000000009,351.2333553035085,103.22729191663788,10.5,-0.1406464195609317,-0.0747457185784601,0.0
1989-11-15,1.0,1.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,6.2,0.8,2.9,7.283,9.0,3.5,-0.03000000000000025,0.20000000000000018,-3.1770000000000014,19.0,0.04054999999999609,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,0.0,0.0,353.123561790751,103.01905975431475,10.5,-0.1723824369000604,-0.06888975555143917,0.0
1989-12-20,1.0,1.0,0.0,0.0,3.94,5.4,13.55,1251.0,99.75903,6.2,0.8,2.9,7.283,8.5,3.5,-0.010000000000000231,0.20000000000000018,-2.997,-81.0,0.07070999999999117,2.1000000000000005,-2.2,-0.10000000000000009,-0.02400000000000002,-0.5,0.0,349.03760952640755,102.97434023962528,10.5,-0.050860649257177946,-0.06604152277502134,0.0
1990-02-08,1.0,1.0,0.0,-1.0,3.82,5.3,14.363,1437.0,99.82359,18.5,4.4,4.4,7.356,8.25,4.1,-0.1200000000000001,0.0,0.782,27.0,0.1183199999999971,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.75,0.49999999999999956,345.08618398714464,99.87714244938698,10.652310924369749,-0.04244065876276022,-0.07096424219598459,-0.004646773963822817
1990-03-28,1.0,1.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,18.5,4.4,4.4,7.356,8.25,3.7,0.03000000000000025,-0.20000000000000018,1.1160000000000014,-62.0,0.09377999999999531,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,-0.25,0.20000000000000018,349.72066046450317,94.59779392530938,10.516176470588235,-0.1660331142541265,-0.01773072201851472,-0.0057577268195413735
1990-05-16,1.0,1.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,5.1,1.5,4.6,7.391,8.25,3.4,-0.050000000000000266,0.0,-2.2859999999999996,-339.0,-0.2191399999999959,-13.4,-2.9000000000000004,0.1999999999999993,0.03500000000000014,0.0,-0.6999999999999997,330.52744113697725,92.9457871124524,10.0,0.0917753168803439,0.0017406964027004686,0.0
1990-07-05,1.0,1.0,0.0,0.0,3.96,5.5,14.081,1171.0,98.88528,3.1,0.3,3.5,7.377,8.25,3.4,0.009999999999999787,0.2999999999999998,-0.40500000000000114,-118.0,-0.9373700000000014,-15.4,-4.1000000000000005,-0.9000000000000004,0.020999999999999908,0.0,-0.30000000000000027,333.03793299057907,94.1079254663291,10.0,0.24431219194676004,-0.021642656737864006,0.0
1990-08-22,1.0,1.0,1.0,0.0,4.14,5.7,13.859,1115.0,98.40642,3.1,0.3,3.5,7.377,8.25,4.6,0.23999999999999977,0.2999999999999998,-0.4220000000000006,-133.0,-1.3403100000000023,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,0.0,0.9999999999999996,350.53266459232617,93.92102875589323,10.0,0.02666468259667148,-0.05389152915877441,0.0
1990-10-03,1.0,1.0,1.0,0.0,4.13,5.9,14.298,1110.0,97.9221,3.1,0.3,3.5,7.377,8.0,4.7,0.18999999999999995,0.7000000000000002,0.1490000000000009,-67.0,-1.3629200000000026,-1.9999999999999996,-1.2,-1.0999999999999996,-0.014000000000000234,-0.25,0.9000000000000004,373.6208096031381,92.7425503963182,10.0,-0.5499482344331402,-0.07151167575763914,0.0
1990-11-14,1.0,1.0,1.0,0.0,3.88,6.2,13.134,1145.0,97.21283,3.6,-3.6,3.0,7.303,8.0,4.7,-0.08000000000000007,0.7000000000000002,-0.9469999999999992,-26.0,-1.6724499999999978,0.5,-3.9,-0.5,-0.07399999999999984,-0.25,1.3000000000000003,350.29143333114496,89.05105073111397,10.0,-0.4658269097909951,-0.060348241523771995,0.0
