,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1989-10-04,1.0,1.0,0.0,0.0,3.8,5.3,15.66,1279.0,99.69093,4.1,3.0,3.0,7.307,9.0,3.4,-0.15000000000000036,0.09999999999999964,-0.8870000000000005,-53.0,0.002609999999990009,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,352.01476338704424,102.61128474644251,10.5,-0.20510371018524623,-0.023016729274717398,0.0
1989-11-15,1.0,1.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,6.2,0.8,2.9,7.283,9.0,3.5,-0.020000000000000018,0.10000000000000053,-0.2110000000000003,-59.0,0.02360000000000184,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,356.3207206382408,99.83267290957339,10.5,-0.6768507438276733,-0.06069242362043284,0.0
1989-12-20,1.0,1.0,0.0,0.0,3.94,5.4,13.55,1251.0,99.75903,6.2,0.8,2.9,7.283,8.5,3.5,0.020000000000000018,0.0,0.1800000000000015,-100.0,0.03015999999999508,0.0,0.0,0.0,0.0,-0.5,0.0,336.5039458403716,99.00132155776382,10.5,0.42412362706247003,-0.10028182610274912,0.0
1990-02-08,1.0,1.0,0.0,-1.0,3.85,5.4,16.308,1551.0,99.79324,18.5,4.4,4.4,7.356,8.25,4.1,-0.08999999999999986,0.0,2.757999999999999,300.0,0.03421000000000163,12.3,3.6000000000000005,1.5000000000000004,0.07299999999999951,0.0,0.5999999999999996,359.10303659983225,93.13836258667726,10.49099099099099,-0.9858561158640502,-0.010271521608802032,-0.01853281853281854
1990-03-28,1.0,1.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,18.5,4.4,4.4,7.356,8.25,3.7,0.13000000000000034,-0.09999999999999964,0.12300000000000111,-148.0,-0.0009399999999999409,0.0,0.0,0.0,0.0,0.0,-0.39999999999999947,327.56279532401055,91.98217822696353,10.0,0.38674513179823244,0.06852638215171787,0.0
1990-05-16,1.0,1.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,5.1,1.5,4.6,7.391,8.25,3.4,-0.10000000000000009,0.0,-0.25900000000000034,-36.0,-0.17262999999999806,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,342.49529552746105,93.72558688831043,10.0,-0.25923919088591946,-0.033557352780375325,0.0
1990-07-05,1.0,1.0,0.0,0.0,3.94,5.2,14.149,1177.0,99.28502,5.1,1.5,4.6,7.391,8.25,3.8,0.14000000000000012,-0.20000000000000018,0.1269999999999989,-35.0,-0.28907999999999845,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,361.1708210438222,92.7388153076172,10.0,-0.08015813447026873,-0.016821180071150032,0.0
1990-08-22,1.0,1.0,1.0,0.0,4.14,5.7,13.859,1115.0,98.40642,3.1,0.3,3.5,7.377,8.25,4.6,0.17999999999999972,0.20000000000000018,-0.22199999999999953,-56.0,-0.4788599999999974,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,370.1162002609299,90.28991023341456,10.0,-0.9812910003858497,-0.09937579573504869,0.0
1990-10-03,1.0,1.0,1.0,0.0,4.13,5.9,14.298,1110.0,97.9221,3.1,0.3,3.5,7.377,8.0,4.7,-0.009999999999999787,0.20000000000000018,0.43900000000000006,-5.0,-0.48431999999999675,0.0,0.0,0.0,0.0,0.0,0.10000000000000053,320.6870091068852,85.88297389720653,10.0,-0.16676562688525523,0.004972941473490791,0.0
1990-11-14,1.0,1.0,1.0,0.0,3.88,6.2,13.134,1145.0,97.21283,3.6,-3.6,3.0,7.303,8.0,4.7,-0.1299999999999999,0.2999999999999998,-0.6150000000000002,131.0,-0.28933000000000675,0.0,0.0,0.0,0.0,0.0,-0.09999999999999964,306.9041616995413,84.01762722347591,10.0,0.04222259325103548,-0.055832668191524416,0.0
1990-12-18,1.0,1.0,1.0,-1.0,3.84,6.3,12.958,969.0,97.09945,3.6,-3.6,3.0,7.303,7.5,4.7,-0.040000000000000036,0.09999999999999964,-0.17600000000000016,-176.0,-0.11337999999999226,0.0,0.0,0.0,0.0,-0.5,0.0,310.50452924848673,81.67153153977952,10.0,0.4730904754677949,0.02657914720140063,0.0
1991-02-07,1.0,1.0,1.0,-1.0,3.82,6.4,11.829,798.0,97.16149,2.5,-1.9,4.0,7.247,7.0,3.9,-0.020000000000000018,0.10000000000000053,-1.1289999999999996,-171.0,0.0620399999999961,-1.1,1.7000000000000002,1.0,-0.05600000000000005,0.0,-0.8000000000000003,320.24695520716034,84.15450494210641,9.825825825825826,0.32168209905636647,-0.03944787868661771,-0.013063063063063067
1991-03-27,1.0,1.0,1.0,0.0,3.43,6.8,12.848,921.0,97.7066,2.5,-1.9,4.0,7.247,6.25,3.3,-0.2999999999999998,0.20000000000000018,0.43900000000000006,-44.0,0.3251199999999983,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,365.9290996929547,80.83339213465786,9.0,0.2345752730793019,0.2156950274336139,0.0
1991-05-15,1.0,1.0,0.0,0.0,3.45,6.9,12.487,996.0,98.4444,15.4,3.2,3.0,7.212,6.0,3.1,0.10000000000000009,0.20000000000000018,0.44899999999999984,-5.0,0.36911999999999523,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,379.1122648680174,89.85601934942756,9.131381381381383,0.05104505619947576,0.1048147528021185,-0.013063063063063067
1991-07-05,1.0,1.0,0.0,0.0,3.23,6.9,12.719,1036.0,98.7811,15.4,3.2,3.0,7.212,5.75,3.3,-0.2200000000000002,0.0,0.23199999999999932,40.0,0.33669999999999334,0.0,0.0,0.0,0.0,0.0,0.19999999999999973,384.2742562508798,91.76980325051615,8.5,-0.24465607357147884,0.1397413894476581,0.0
1991-08-21,1.0,1.0,0.0,0.0,2.91,6.9,12.565,1049.0,99.17667,9.8,2.0,3.2,7.166,5.75,3.2,-0.18999999999999995,0.10000000000000053,-0.40700000000000003,-14.0,0.13854999999999507,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,378.16563122265336,95.7089190669246,8.5,0.32429714914761354,-0.10312870374210718,0.0
1991-10-02,1.0,1.0,0.0,0.0,2.9,6.9,13.107,1015.0,99.20341,9.8,2.0,3.2,7.166,5.5,3.0,-0.010000000000000231,0.0,0.5419999999999998,-34.0,0.02674000000000376,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,393.6048499671547,94.25303229483757,8.657657657657658,-0.23192783193698763,-0.1207130088462486,-0.01853281853281854
1991-11-06,1.0,1.0,0.0,0.0,2.83,7.0,12.217,1079.0,99.1512,9.3,1.4,2.4,7.058,5.25,3.2,-0.06999999999999984,0.09999999999999964,-0.8899999999999988,64.0,-0.05221000000000231,-0.5,-0.6000000000000001,-0.8000000000000003,-0.10800000000000054,-0.25,0.20000000000000018,384.14939637513487,90.05424934822518,8.0,0.10947899542259983,0.03178890724133009,0.0
1991-12-18,1.0,1.0,0.0,-1.0,3.0,7.3,12.658,1079.0,99.03893,9.3,1.4,2.4,7.058,4.75,2.7,0.029999999999999805,0.2999999999999998,0.08199999999999896,-24.0,-0.03601000000000454,0.0,0.0,0.0,0.0,0.0,-0.19999999999999973,391.96881456346483,88.7981390623717,7.553303303303304,-0.5246305998381191,-0.07125872166460546,-0.0022522522522522522
1992-02-06,1.0,1.0,0.0,0.0,2.88,7.3,12.591,1176.0,99.08805,7.4,4.9,1.5,6.886,4.5,2.7,-0.1200000000000001,0.0,-0.06700000000000017,97.0,0.04912000000000205,-1.9000000000000004,3.5000000000000004,-0.8999999999999999,-0.1719999999999997,0.0,0.0,412.0254612369938,83.22628960595117,6.5,0.1758147564940779,0.1234183862556055,0.0
1992-04-01,1.0,1.0,0.0,0.0,2.99,7.4,12.824,1297.0,99.38452,7.4,4.9,1.5,6.886,4.0,2.6,0.0900000000000003,0.0,-0.10299999999999976,47.0,0.17058000000000106,0.0,0.0,0.0,0.0,0.0,0.0,411.181054100976,89.09363340543914,6.5,-0.10959991494354313,0.05485589360024773,0.0
1992-05-20,1.0,1.0,0.0,0.0,2.8,7.6,13.098,1214.0,99.63816,0.2,4.4,2.4,6.814,4.0,2.9,-0.14000000000000012,0.1999999999999993,0.548,115.0,0.09863,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,404.4331139000328,89.87419053956911,6.5,0.3900601852200981,-0.016715609674441634,0.0
1992-07-02,1.0,1.0,0.0,0.0,2.8,7.8,13.543,1145.0,99.66827,0.2,4.4,2.4,6.814,3.75,3.1,0.0,0.20000000000000018,0.4449999999999985,-69.0,0.03011000000000763,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,417.1517102582319,88.1898046499258,6.5,-0.3727166410271878,-0.08330625143750757,0.0
1992-08-19,1.0,1.0,0.0,-1.0,2.75,7.6,12.873,1226.0,99.64877,8.8,4.0,2.0,6.735,3.25,2.8,-0.06999999999999984,-0.10000000000000053,0.019999999999999574,87.0,-0.009309999999999263,0.0,0.0,0.0,0.0,0.0,0.09999999999999964,412.0782574719495,82.39495556347363,6.0,0.2811313074374598,-0.01533072531760276,0.0
1992-10-07,1.0,1.0,0.0,0.0,2.61,7.6,13.378,1186.0,99.68358,8.8,4.0,2.0,6.735,3.25,3.0,-0.14000000000000012,0.0,0.5050000000000008,-40.0,0.034810000000007335,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,415.4522329794394,77.93073522436009,6.0,0.12079289852422238,0.19432301858830794,0.0
