DATE,CRESTKCPIXSLTRM159SFRBATL
2007-11-01,2.297182
2007-12-01,2.4336985
2008-01-01,2.5681932
2008-02-01,2.4378288
2008-03-01,2.6342511
2008-04-01,2.6579474
2008-05-01,2.7938519
2008-06-01,3.0269498
2008-07-01,3.1960055
2008-08-01,3.416518
2008-09-01,3.4242408
2008-10-01,3.2260968
2008-11-01,3.0154979
2008-12-01,2.8961922
2009-01-01,2.7291644
2009-02-01,2.7812632
2009-03-01,2.5646581
2009-04-01,2.490232
2009-05-01,2.2821073
2009-06-01,2.1143373
2009-07-01,1.9757469
2009-08-01,1.783855
2009-09-01,1.8165635
2009-10-01,1.8321642
2009-11-01,1.8983092
2009-12-01,1.8900592
2010-01-01,1.8584163
2010-02-01,1.7668624
2010-03-01,1.7742046
2010-04-01,1.8067822
2010-05-01,1.7587608
2010-06-01,1.6919614
2010-07-01,1.5656598
2010-08-01,1.5215384
2010-09-01,1.3166357
2010-10-01,1.2494543
2010-11-01,1.3163845
2010-12-01,1.2491603
2011-01-01,1.3245995
2011-02-01,1.4905749
2011-03-01,1.4773291
2011-04-01,1.4416184
2011-05-01,1.4686026
2011-06-01,1.4570161
2011-07-01,1.5408113
2011-08-01,1.7859933
2011-09-01,1.8430012
2011-10-01,1.9128705
2011-11-01,1.8812137
2011-12-01,2.179963
2012-01-01,2.2521691
2012-02-01,2.0618819
2012-03-01,2.1516291
2012-04-01,2.1587029
2012-05-01,2.1327403
2012-06-01,2.2697862
2012-07-01,2.3472245
2012-08-01,2.1916407
2012-09-01,2.2106982
2012-10-01,2.176109
2012-11-01,2.1459314
2012-12-01,2.0040636
2013-01-01,1.933392
2013-02-01,2.0112535
2013-03-01,1.9541024
2013-04-01,1.6797693
2013-05-01,1.5601237
2013-06-01,1.4140614
2013-07-01,1.417874
2013-08-01,1.4527728
2013-09-01,1.43841
2013-10-01,1.4030718
2013-11-01,1.3778539
2013-12-01,1.2332332
2014-01-01,1.0947187
2014-02-01,1.0382456
2014-03-01,1.0157462
2014-04-01,1.3628865
2014-05-01,1.5379903
2014-06-01,1.5639172
2014-07-01,1.3870386
2014-08-01,1.1664132
2014-09-01,1.1091534
2014-10-01,1.1998274
2014-11-01,1.1848901
2014-12-01,1.2023466
2015-01-01,1.1882748
2015-02-01,1.1177876
2015-03-01,1.1517328
2015-04-01,1.23598
2015-05-01,1.2412999
2015-06-01,1.2233164
2015-07-01,1.2384797
2015-08-01,1.2842853
2015-09-01,1.4164765
2015-10-01,1.5276346
2015-11-01,1.671921
2015-12-01,1.6911658
2016-01-01,1.7145084
2016-02-01,1.8724214
2016-03-01,1.8695731
2016-04-01,1.8640751
2016-05-01,1.8319365
2016-06-01,1.8468391
2016-07-01,1.8652834
2016-08-01,2.1182091
2016-09-01,1.8886092
2016-10-01,1.5818307
2016-11-01,1.5185083
2016-12-01,1.617167
2017-01-01,1.787637
2017-02-01,1.821021
2017-03-01,1.416756
2017-04-01,1.09923
2017-05-01,1.001468
2017-06-01,0.9916804
2017-07-01,1.033938
2017-08-01,0.8642485
2017-09-01,0.9778104
2017-10-01,1.152266
2017-11-01,1.056951
2017-12-01,1.02985
2018-01-01,1.074791
2018-02-01,1.079657
2018-03-01,1.470341
2018-04-01,1.622934
2018-05-01,1.707471
2018-06-01,1.769079
2018-07-01,1.664795
2018-08-01,1.535886
2018-09-01,1.640543
2018-10-01,1.577308
2018-11-01,1.643353
2018-12-01,1.718392
2019-01-01,1.586341
2019-02-01,1.470726
2019-03-01,1.477758
2019-04-01,1.452894
2019-05-01,1.453584
2019-06-01,1.422845
2019-07-01,1.534966
2019-08-01,1.90528
2019-09-01,1.799939
2019-10-01,2.120842
2019-11-01,2.246838
2019-12-01,2.186299
2020-01-01,2.224857
2020-02-01,2.299025
2020-03-01,2.048239
2020-04-01,1.373823
2020-05-01,1.116954
2020-06-01,1.282542
2020-07-01,1.891249
2020-08-01,1.890031
2020-09-01,1.667995
2020-10-01,1.217748
2020-11-01,1.334453
2020-12-01,1.285772
2021-01-01,1.052695
2021-02-01,1.095535
2021-03-01,1.47988
2021-04-01,2.54707
2021-05-01,3.196853
2021-06-01,2.940789
2021-07-01,2.351226
2021-08-01,2.273413
2021-09-01,2.528438
2021-10-01,3.077667
2021-11-01,3.073044
2021-12-01,3.343302
2022-01-01,4.03015
2022-02-01,4.393333
2022-03-01,4.659331
2022-04-01,4.715766
2022-05-01,4.923416
2022-06-01,5.363652
2022-07-01,5.384686
2022-08-01,5.668807
2022-09-01,6.074067
2022-10-01,5.793145
2022-11-01,5.731625
2022-12-01,5.616926
2023-01-01,5.267580032
2023-02-01,5.114579678
2023-03-01,4.803379059
2023-04-01,4.486644745
2023-05-01,3.928153276
2023-06-01,3.434245586
2023-07-01,3.265159845
2023-08-01,3.094959974
2023-09-01,2.919114828
