"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",102.3675,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",102.2979,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",102.0188,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.5598,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.9933,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.4421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.93734,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.45277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.00494,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",98.67734,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.49447,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.44475,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.52718,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",98.7397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.06567,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.45829,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.89297,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.3096,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.6301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.7757,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.6338,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.0968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.1943,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.05482,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",96.86368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",95.89142,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",95.25275,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",94.98525,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",95.07395,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",95.44427,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",95.96634,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",96.60655,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",97.3512,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.13032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",98.88101,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.54323,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.117,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.6003,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.9423,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",101.1066,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",101.0817,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.9239,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.6807,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.3942,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.171,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.1476,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.292,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.9639,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",101.261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",101.4065,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",101.3494,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",101.0809,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.6611,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",100.1877,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.70594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.22165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",98.7021,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.18987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",97.7275,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",97.3405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",96.99886,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",96.73786,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",96.6083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",96.65633,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",96.83956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",97.06524,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",97.25244,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",97.34956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",97.34477,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",97.2729,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",97.15135,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",97.01562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",96.91536,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",96.86082,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",96.86401,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",96.94377,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",97.10365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",97.37127,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",97.79072,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",98.3867,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.11398,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",99.93993,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.8533,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.767,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",102.6446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",103.4585,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",104.1976,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",104.8656,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",105.4274,
