DATE,OECDLOLITOAASTSAM
1990-01-01,100.686551300442
1990-02-01,100.691919860895
1990-03-01,100.675582247224
1990-04-01,100.6190911108
1990-05-01,100.510612823479
1990-06-01,100.331436440404
1990-07-01,100.080337016758
1990-08-01,99.7679556692105
1990-09-01,99.4314194717042
1990-10-01,99.1079270684634
1990-11-01,98.8389741663591
1990-12-01,98.6639785395591
1991-01-01,98.5963616648574
1991-02-01,98.6400152691818
1991-03-01,98.7648655538247
1991-04-01,98.9265225461021
1991-05-01,99.093737379573
1991-06-01,99.2464195049092
1991-07-01,99.3577059990954
1991-08-01,99.4074554574002
1991-09-01,99.4023411696681
1991-10-01,99.3558064787016
1991-11-01,99.2934459475621
1991-12-01,99.2470579274378
1992-01-01,99.2394209552934
1992-02-01,99.2578330503902
1992-03-01,99.2822515345356
1992-04-01,99.284396498102
1992-05-01,99.237264715912
1992-06-01,99.1314571121609
1992-07-01,98.9835011844126
1992-08-01,98.8205304012955
1992-09-01,98.679563561764
1992-10-01,98.5799894074308
1992-11-01,98.5273787468934
1992-12-01,98.510105725003
1993-01-01,98.5082794812487
1993-02-01,98.5127913679788
1993-03-01,98.516581598801
1993-04-01,98.5246478320324
1993-05-01,98.5360806987358
1993-06-01,98.5652971917772
1993-07-01,98.6333641830492
1993-08-01,98.7492155588796
1993-09-01,98.9086046547716
1993-10-01,99.1026225882735
1993-11-01,99.3205407468772
1993-12-01,99.5565398779735
1994-01-01,99.7927925480059
1994-02-01,100.000487337809
1994-03-01,100.191190707436
1994-04-01,100.365943178204
1994-05-01,100.52717515935
1994-06-01,100.680512667596
1994-07-01,100.817498466487
1994-08-01,100.927899797079
1994-09-01,100.986425931509
1994-10-01,100.980722942347
1994-11-01,100.901379728134
1994-12-01,100.747575083773
1995-01-01,100.53494284737
1995-02-01,100.303981286693
1995-03-01,100.08187233048
1995-04-01,99.9014941924174
1995-05-01,99.7746254220106
1995-06-01,99.6943199285864
1995-07-01,99.6496788559604
1995-08-01,99.6218042725806
1995-09-01,99.591041816572
1995-10-01,99.5585946920792
1995-11-01,99.5299363581246
1995-12-01,99.5083344721541
1996-01-01,99.5001180879877
1996-02-01,99.5182960571036
1996-03-01,99.5603006684631
1996-04-01,99.6181107425037
1996-05-01,99.6751988420196
1996-06-01,99.7219936656924
1996-07-01,99.7598751748085
1996-08-01,99.7954957981954
1996-09-01,99.835613611797
1996-10-01,99.8821754628037
1996-11-01,99.9348417474817
1996-12-01,100.00221328155
1997-01-01,100.086072615894
1997-02-01,100.184959655911
1997-03-01,100.288587788326
1997-04-01,100.394663541467
1997-05-01,100.497838439477
1997-06-01,100.59374410583
1997-07-01,100.669276938125
1997-08-01,100.709275747374
1997-09-01,100.712512157311
1997-10-01,100.672462932264
1997-11-01,100.596517326254
1997-12-01,100.503754634402
1998-01-01,100.409603346854
1998-02-01,100.317188076853
1998-03-01,100.215238298914
1998-04-01,100.091746286746
1998-05-01,99.9440863947652
1998-06-01,99.7735635373834
1998-07-01,99.5955968055261
1998-08-01,99.4284642119731
1998-09-01,99.301068855187
1998-10-01,99.2441734708715
1998-11-01,99.2797280316704
1998-12-01,99.3985125613534
1999-01-01,99.5823829147616
1999-02-01,99.7989147137857
1999-03-01,100.018966920366
1999-04-01,100.231750769641
1999-05-01,100.437595385984
1999-06-01,100.631126472321
1999-07-01,100.810158013068
1999-08-01,100.975136525607
1999-09-01,101.132071672289
1999-10-01,101.285443621671
1999-11-01,101.433206924244
1999-12-01,101.561957026869
2000-01-01,101.658456108793
2000-02-01,101.70763267971
2000-03-01,101.715860065738
2000-04-01,101.685617428122
2000-05-01,101.618352674229
2000-06-01,101.520324327819
2000-07-01,101.392654204469
2000-08-01,101.231154271854
2000-09-01,101.028515698428
2000-10-01,100.777459370474
2000-11-01,100.480895428545
2000-12-01,100.148672756849
2001-01-01,99.8132878300137
2001-02-01,99.5121184287114
2001-03-01,99.2663717047859
2001-04-01,99.0795805558154
2001-05-01,98.9422756864348
2001-06-01,98.8189475555422
2001-07-01,98.700748700658
2001-08-01,98.5923095511596
2001-09-01,98.5146378379141
2001-10-01,98.5142847686077
2001-11-01,98.6119819142237
2001-12-01,98.7929116739099
2002-01-01,99.0169492453728
2002-02-01,99.2445855667274
2002-03-01,99.4313762265134
2002-04-01,99.5334358794898
2002-05-01,99.5340418918368
2002-06-01,99.4401939384654
2002-07-01,99.2868835851932
2002-08-01,99.1138492518604
2002-09-01,98.9416523445971
2002-10-01,98.7880412610702
2002-11-01,98.6584165259918
2002-12-01,98.5392228618161
2003-01-01,98.4260538572306
2003-02-01,98.3356032416334
2003-03-01,98.3007943495098
2003-04-01,98.3496192060516
2003-05-01,98.4759386191921
2003-06-01,98.6668572501357
2003-07-01,98.9057058903494
2003-08-01,99.1766516770431
2003-09-01,99.4656218590352
2003-10-01,99.7512543000054
2003-11-01,100.007645627231
2003-12-01,100.216890074877
2004-01-01,100.372339225177
2004-02-01,100.473291600865
2004-03-01,100.529104168375
2004-04-01,100.546252723479
2004-05-01,100.533535052498
2004-06-01,100.500808543199
2004-07-01,100.455144428287
2004-08-01,100.406596762759
2004-09-01,100.370290717054
2004-10-01,100.348207424211
2004-11-01,100.335257396364
2004-12-01,100.314938402708
2005-01-01,100.271207709096
2005-02-01,100.200096653794
2005-03-01,100.115555211608
2005-04-01,100.048029054447
2005-05-01,100.022139893329
2005-06-01,100.052588407857
2005-07-01,100.130563679271
2005-08-01,100.247226795907
2005-09-01,100.397094872027
2005-10-01,100.575678777213
2005-11-01,100.769818478637
