DATE,ADPWNUSNERSA
2014-11-08,115523000
2014-11-15,115654000
2014-11-22,115682000
2014-11-29,115813000
2014-12-06,115864000
2014-12-13,115914000
2014-12-20,115912000
2014-12-27,115873000
2015-01-03,115756000
2015-01-10,115869000
2015-01-17,116001000
2015-01-24,115928000
2015-01-31,115901000
2015-02-07,115921000
2015-02-14,116055000
2015-02-21,115997000
2015-02-28,116037000
2015-03-07,116017000
2015-03-14,116008000
2015-03-21,116084000
2015-03-28,116147000
2015-04-04,116208000
2015-04-11,116305000
2015-04-18,116376000
2015-04-25,116447000
2015-05-02,116416000
2015-05-09,116492000
2015-05-16,116769000
2015-05-23,116813000
2015-05-30,116836000
2015-06-06,117002000
2015-06-13,117054000
2015-06-20,117119000
2015-06-27,117190000
2015-07-04,117207000
2015-07-11,117330000
2015-07-18,117362000
2015-07-25,117330000
2015-08-01,117459000
2015-08-08,117500000
2015-08-15,117532000
2015-08-22,117555000
2015-08-29,117643000
2015-09-05,117743000
2015-09-12,117791000
2015-09-19,117842000
2015-09-26,117917000
2015-10-03,117975000
2015-10-10,118058000
2015-10-17,118090000
2015-10-24,118190000
2015-10-31,118204000
2015-11-07,118172000
2015-11-14,118199000
2015-11-21,118326000
2015-11-28,118443000
2015-12-05,118394000
2015-12-12,118281000
2015-12-19,118305000
2015-12-26,118270000
2016-01-02,118289000
2016-01-09,118400000
2016-01-16,118438000
2016-01-23,118423000
2016-01-30,118518000
2016-02-06,118566000
2016-02-13,118573000
2016-02-20,118618000
2016-02-27,118627000
2016-03-05,118761000
2016-03-12,118812000
2016-03-19,118864000
2016-03-26,118906000
2016-04-02,118934000
2016-04-09,118952000
2016-04-16,118974000
2016-04-23,119011000
2016-04-30,119060000
2016-05-07,119083000
2016-05-14,119045000
2016-05-21,119068000
2016-05-28,119165000
2016-06-04,119211000
2016-06-11,119245000
2016-06-18,119328000
2016-06-25,119417000
2016-07-02,119511000
2016-07-09,119557000
2016-07-16,119570000
2016-07-23,119661000
2016-07-30,119688000
2016-08-06,119776000
2016-08-13,119789000
2016-08-20,119841000
2016-08-27,119893000
2016-09-03,119961000
2016-09-10,119978000
2016-09-17,120060000
2016-09-24,120082000
2016-10-01,120137000
2016-10-08,120196000
2016-10-15,120252000
2016-10-22,120315000
2016-10-29,120401000
2016-11-05,120492000
2016-11-12,120474000
2016-11-19,120534000
2016-11-26,120561000
2016-12-03,120461000
2016-12-10,120510000
2016-12-17,120572000
2016-12-24,120499000
2016-12-31,120527000
2017-01-07,120560000
2017-01-14,120522000
2017-01-21,120531000
2017-01-28,120545000
2017-02-04,120615000
2017-02-11,120668000
2017-02-18,120674000
2017-02-25,120707000
2017-03-04,120778000
2017-03-11,120845000
2017-03-18,120853000
2017-03-25,120886000
2017-04-01,120950000
2017-04-08,121021000
2017-04-15,121157000
2017-04-22,121207000
2017-04-29,121214000
2017-05-06,121297000
2017-05-13,121321000
2017-05-20,121401000
2017-05-27,121489000
2017-06-03,121519000
2017-06-10,121589000
2017-06-17,121706000
2017-06-24,121798000
2017-07-01,121843000
2017-07-08,121888000
2017-07-15,121923000
2017-07-22,121970000
2017-07-29,122002000
2017-08-05,122015000
2017-08-12,122068000
2017-08-19,122098000
2017-08-26,122147000
2017-09-02,122194000
2017-09-09,122267000
2017-09-16,122261000
2017-09-23,122286000
2017-09-30,122309000
2017-10-07,122311000
2017-10-14,122409000
2017-10-21,122443000
2017-10-28,122486000
2017-11-04,122520000
2017-11-11,122606000
2017-11-18,122645000
2017-11-25,122636000
2017-12-02,122544000
2017-12-09,122592000
2017-12-16,122703000
2017-12-23,122684000
2017-12-30,122725000
2018-01-06,122696000
2018-01-13,122654000
2018-01-20,122708000
2018-01-27,122779000
2018-02-03,122846000
2018-02-10,122853000
2018-02-17,122936000
2018-02-24,123004000
2018-03-03,123025000
2018-03-10,122987000
2018-03-17,123030000
2018-03-24,123036000
2018-03-31,123027000
2018-04-07,123058000
2018-04-14,123027000
2018-04-21,123079000
2018-04-28,123175000
2018-05-05,123232000
2018-05-12,123286000
2018-05-19,123344000
2018-05-26,123436000
2018-06-02,123502000
2018-06-09,123571000
2018-06-16,123640000
2018-06-23,123642000
2018-06-30,123719000
2018-07-07,123748000
2018-07-14,123790000
2018-07-21,123842000
2018-07-28,123886000
2018-08-04,123894000
2018-08-11,123918000
2018-08-18,123927000
2018-08-25,123956000
2018-09-01,123975000
2018-09-08,123998000
2018-09-15,123976000
2018-09-22,124066000
2018-09-29,124142000
2018-10-06,124149000
2018-10-13,124225000
2018-10-20,124230000
2018-10-27,124238000
2018-11-03,124311000
2018-11-10,124304000
2018-11-17,124341000
2018-11-24,124267000
2018-12-01,124163000
2018-12-08,124238000
2018-12-15,124395000
2018-12-22,124628000
2018-12-29,124574000
2019-01-05,124497000
2019-01-12,124413000
2019-01-19,124450000
2019-01-26,124455000
2019-02-02,124417000
2019-02-09,124398000
2019-02-16,124382000
2019-02-23,124374000
2019-03-02,124365000
2019-03-09,124413000
2019-03-16,124370000
2019-03-23,124395000
2019-03-30,124429000
2019-04-06,124392000
2019-04-13,124400000
2019-04-20,124382000
2019-04-27,124333000
2019-05-04,124349000
2019-05-11,124359000
2019-05-18,124362000
2019-05-25,124353000
2019-06-01,124398000
2019-06-08,124436000
2019-06-15,124458000
2019-06-22,124472000
2019-06-29,124475000
2019-07-06,124478000
2019-07-13,124474000
2019-07-20,124494000
2019-07-27,124470000
2019-08-03,124471000
2019-08-10,124442000
2019-08-17,124392000
2019-08-24,124344000
2019-08-31,124329000
2019-09-07,124336000
2019-09-14,124384000
2019-09-21,124380000
2019-09-28,124372000
2019-10-05,124351000
2019-10-12,124240000
2019-10-19,124192000
2019-10-26,124213000
2019-11-02,124153000
2019-11-09,124132000
2019-11-16,124125000
2019-11-23,124100000
2019-11-30,124235000
2019-12-07,124310000
2019-12-14,124218000
2019-12-21,124132000
2019-12-28,124108000
2020-01-04,123893000
2020-01-11,124000000
2020-01-18,124051000
2020-01-25,123923000
2020-02-01,124000000
2020-02-08,123943000
2020-02-15,123929000
2020-02-22,123839000
2020-02-29,123930000
2020-03-07,123956000
2020-03-14,123855000
2020-03-21,122982000
2020-03-28,121300000
2020-04-04,119600000
2020-04-11,117931000
2020-04-18,117010000
2020-04-25,116516000
2020-05-02,116209000
2020-05-09,116227000
2020-05-16,116294000
2020-05-23,116266000
2020-05-30,116328000
2020-06-06,116304000
2020-06-13,116296000
2020-06-20,116304000
2020-06-27,116296000
2020-07-04,116238000
2020-07-11,116106000
2020-07-18,116046000
2020-07-25,116050000
2020-08-01,115979000
2020-08-08,115991000
2020-08-15,115971000
2020-08-22,116032000
2020-08-29,116096000
2020-09-05,116246000
2020-09-12,116266000
2020-09-19,116270000
2020-09-26,116337000
2020-10-03,116428000
2020-10-10,116498000
2020-10-17,116627000
2020-10-24,116760000
2020-10-31,116790000
2020-11-07,116836000
2020-11-14,116807000
2020-11-21,116860000
2020-11-28,116937000
2020-12-05,117003000
2020-12-12,117082000
2020-12-19,117034000
2020-12-26,117046000
2021-01-02,116833000
2021-01-09,116998000
2021-01-16,116965000
2021-01-23,116909000
2021-01-30,116970000
2021-02-06,117058000
2021-02-13,117079000
2021-02-20,117085000
2021-02-27,117148000
2021-03-06,117233000
2021-03-13,117308000
2021-03-20,117365000
2021-03-27,117427000
2021-04-03,117490000
2021-04-10,117553000
2021-04-17,117609000
