DATE,HOUST1F
1990-01-01,1100
1990-02-01,1102
1990-03-01,971
1990-04-01,922
1990-05-01,893
1990-06-01,885
1990-07-01,883
1990-08-01,827
1990-09-01,858
1990-10-01,835
1990-11-01,780
1990-12-01,751
1991-01-01,604
1991-02-01,755
1991-03-01,750
1991-04-01,819
1991-05-01,839
1991-06-01,874
1991-07-01,887
1991-08-01,882
1991-09-01,868
1991-10-01,878
1991-11-01,916
1991-12-01,947
1992-01-01,969
1992-02-01,1102
1992-03-01,1037
1992-04-01,945
1992-05-01,1038
1992-06-01,999
1992-07-01,984
1992-08-01,1037
1992-09-01,1024
1992-10-01,1093
1992-11-01,1078
1992-12-01,1075
1993-01-01,1091
1993-02-01,1063
1993-03-01,950
1993-04-01,1110
1993-05-01,1128
1993-06-01,1081
1993-07-01,1086
1993-08-01,1162
1993-09-01,1143
1993-10-01,1209
1993-11-01,1228
1993-12-01,1316
1994-01-01,1140
1994-02-01,1133
1994-03-01,1306
1994-04-01,1206
1994-05-01,1244
1994-06-01,1193
1994-07-01,1231
1994-08-01,1149
1994-09-01,1201
1994-10-01,1152
1994-11-01,1187
1994-12-01,1151
1995-01-01,1083
1995-02-01,1053
1995-03-01,996
1995-04-01,1013
1995-05-01,1024
1995-06-01,1022
1995-07-01,1133
1995-08-01,1138
1995-09-01,1095
1995-10-01,1128
1995-11-01,1131
1995-12-01,1168
1996-01-01,1143
1996-02-01,1158
1996-03-01,1147
1996-04-01,1211
1996-05-01,1156
1996-06-01,1192
1996-07-01,1151
1996-08-01,1252
1996-09-01,1148
1996-10-01,1113
1996-11-01,1121
1996-12-01,1060
1997-01-01,1108
1997-02-01,1181
1997-03-01,1130
1997-04-01,1124
1997-05-01,1105
1997-06-01,1120
1997-07-01,1133
1997-08-01,1100
1997-09-01,1205
1997-10-01,1127
1997-11-01,1154
1997-12-01,1149
1998-01-01,1227
1998-02-01,1237
1998-03-01,1221
1998-04-01,1230
1998-05-01,1212
1998-06-01,1275
1998-07-01,1300
1998-08-01,1274
1998-09-01,1262
1998-10-01,1298
1998-11-01,1383
1998-12-01,1412
1999-01-01,1349
1999-02-01,1317
1999-03-01,1345
1999-04-01,1220
1999-05-01,1312
1999-06-01,1266
1999-07-01,1308
1999-08-01,1265
1999-09-01,1286
