DATE,USAGDPDEFQISMEI
1990-01-01,60.0621749803326
1990-04-01,60.734849567244
1990-07-01,61.2554313962824
1990-10-01,61.7115197447623
1991-01-01,62.3160094013352
1991-04-01,62.7732530011343
1991-07-01,63.263713544993
1991-10-01,63.6393047107496
1992-01-01,63.8758076113601
1992-04-01,64.2597883247819
1992-07-01,64.5738716027255
1992-10-01,65.018449127884
1993-01-01,65.3828231688363
1993-04-01,65.7721374831428
1993-07-01,66.163129081378
1993-10-01,66.5238661054851
1994-01-01,66.84189052219
1994-04-01,67.1648718292898
1994-07-01,67.5498361730599
1994-10-01,67.9163277876989
1995-01-01,68.2844349372631
1995-04-01,68.612676203727
1995-07-01,68.9504184976894
1995-10-01,69.2827785233982
1996-01-01,69.6159867109337
1996-04-01,69.9042974436945
1996-07-01,70.1329509145086
1996-10-01,70.5079418107991
1997-01-01,70.9283887690308
1997-04-01,71.0694926648941
1997-07-01,71.3795927319128
1997-10-01,71.6174671736511
1998-01-01,71.7192643020378
1998-04-01,71.8887179417072
1998-07-01,72.1932453548448
1998-10-01,72.3966917831691
1999-01-01,72.6311389448646
1999-04-01,72.9063851184484
1999-07-01,73.1640180515774
1999-10-01,73.5698918722858
2000-01-01,74.0592639420047
2000-04-01,74.5201008439553
2000-07-01,74.9559632649128
2000-10-01,75.3601824398455
2001-01-01,75.8578864589828
2001-04-01,76.3142462317922
2001-07-01,76.6141363574746
2001-10-01,76.8543804797461
2002-01-01,77.096571587219
2002-04-01,77.3658076157186
2002-07-01,77.7360946996467
2002-10-01,78.1871760598315
2003-01-01,78.569979498576
2003-04-01,78.8465124886423
2003-07-01,79.2972664938286
2003-10-01,79.7805227134284
2004-01-01,80.3499900209516
2004-04-01,80.9984082670113
2004-07-01,81.512381034147
2004-10-01,82.1442868724629
2005-01-01,82.7999507628746
2005-04-01,83.3967423727164
2005-07-01,84.156795748443
2005-10-01,84.8480538618418
2006-01-01,85.449342241419
2006-04-01,86.195615436024
2006-07-01,86.797242497437
2006-10-01,87.108489500355
2007-01-01,87.9365022422388
2007-04-01,88.5480413105495
2007-07-01,89.0314339310547
2007-10-01,89.3925496577616
2008-01-01,89.7237002243419
2008-04-01,90.1579183495264
2008-07-01,90.836993611115
2008-10-01,91.0573598068329
2009-01-01,90.9847140893411
2009-04-01,90.8338528075576
2009-07-01,90.9417337393222
2009-10-01,91.2293279665116
2010-01-01,91.4919167613706
2010-04-01,91.9382391445899
2010-07-01,92.2178108782609
2010-10-01,92.7531248681166
2011-01-01,93.2285689332731
2011-04-01,93.8452091073029
2011-07-01,94.4100174408395
2011-10-01,94.5224728662887
2012-01-01,95.0768486247262
2012-04-01,95.4690975967702
2012-07-01,95.9930935577292
2012-10-01,96.474903443345
2013-01-01,96.8575621340282
2013-04-01,97.0661075818674
2013-07-01,97.5420512609459
2013-10-01,98.0575906146959
2014-01-01,98.4298874893487
2014-04-01,98.9870329131266
2014-07-01,99.3934531362123
2014-10-01,99.492373622046
2015-01-01,99.4381745472854
2015-04-01,100.0091778002
2015-07-01,100.274435104295
2015-10-01,100.272062756718
2016-01-01,100.185325310693
2016-04-01,100.866029680635
2016-07-01,101.124012491292
2016-10-01,101.613830881405
2017-01-01,102.13169502607
2017-04-01,102.398323790593
2017-07-01,102.924500301612
2017-10-01,103.557867673632
2018-01-01,104.216541372654
2018-04-01,104.953169466162
2018-07-01,105.406523145302
2018-10-01,105.860356135218
2019-01-01,106.226089027156
2019-04-01,106.752984207313
2019-07-01,107.085648300189
2019-10-01,107.423965251527
2020-01-01,107.934251374161
2020-04-01,107.499652966556
2020-07-01,108.448451076603
2020-10-01,109.205895263463
2021-01-01,110.638075907857
2021-04-01,112.319620375844
2021-07-01,113.979033780379
2021-10-01,115.960609751816
2022-01-01,118.310905399947
2022-04-01,120.916838997823
2022-07-01,122.243580677157
2022-10-01,123.405231150365
2023-01-01,124.605412540775
2023-04-01,125.124908664116
