DATE,WM1NS
1990-01-01,825.0
1990-01-08,828.1
1990-01-15,810.6
1990-01-22,792.5
1990-01-29,773.1
1990-02-05,792.7
1990-02-12,788.7
1990-02-19,784.8
1990-02-26,779.0
1990-03-05,799.0
1990-03-12,797.1
1990-03-19,793.0
1990-03-26,784.9
1990-04-02,801.1
1990-04-09,822.2
1990-04-16,829.2
1990-04-23,815.8
1990-04-30,797.7
1990-05-07,803.9
1990-05-14,797.8
1990-05-21,794.9
1990-05-28,784.0
1990-06-04,811.3
1990-06-11,816.0
1990-06-18,810.6
1990-06-25,795.1
1990-07-02,813.4
1990-07-09,826.4
1990-07-16,816.4
1990-07-23,800.8
1990-07-30,795.7
1990-08-06,819.2
1990-08-13,819.0
1990-08-20,815.4
1990-08-27,799.4
1990-09-03,814.7
1990-09-10,830.6
1990-09-17,821.7
1990-09-24,802.3
1990-10-01,811.8
1990-10-08,827.3
1990-10-15,824.5
1990-10-22,810.3
1990-10-29,802.5
1990-11-05,826.5
1990-11-12,826.8
1990-11-19,827.3
1990-11-26,819.6
1990-12-03,821.7
1990-12-10,838.7
1990-12-17,840.2
1990-12-24,844.2
1990-12-31,852.4
1991-01-07,862.6
1991-01-14,840.6
1991-01-21,825.7
1991-01-28,806.9
1991-02-04,823.3
1991-02-11,827.4
1991-02-18,822.8
1991-02-25,812.8
1991-03-04,830.5
1991-03-11,836.7
1991-03-18,831.4
1991-03-25,823.9
1991-04-01,842.2
1991-04-08,860.5
1991-04-15,864.4
1991-04-22,853.8
1991-04-29,829.8
1991-05-06,847.1
1991-05-13,843.7
1991-05-20,841.4
1991-05-27,827.8
1991-06-03,848.8
1991-06-10,866.2
1991-06-17,862.0
1991-06-24,842.5
1991-07-01,857.9
1991-07-08,879.1
1991-07-15,866.3
1991-07-22,853.6
1991-07-29,844.9
1991-08-05,871.4
1991-08-12,867.9
1991-08-19,863.7
1991-08-26,851.3
1991-09-02,859.9
1991-09-09,882.5
1991-09-16,874.2
1991-09-23,853.9
1991-09-30,852.9
1991-10-07,882.2
1991-10-14,878.1
1991-10-21,875.5
1991-10-28,861.9
1991-11-04,885.7
1991-11-11,893.2
1991-11-18,894.7
1991-11-25,881.0
1991-12-02,902.9
1991-12-09,913.8
1991-12-16,913.2
1991-12-23,915.3
1991-12-30,919.1
1992-01-06,941.6
1992-01-13,925.9
1992-01-20,913.1
1992-01-27,897.2
1992-02-03,907.3
1992-02-10,919.6
1992-02-17,917.0
1992-02-24,909.4
1992-03-02,915.7
1992-03-09,936.2
1992-03-16,934.4
1992-03-23,923.0
1992-03-30,923.8
1992-04-06,957.8
1992-04-13,961.9
1992-04-20,967.2
1992-04-27,936.0
1992-05-04,945.2
1992-05-11,948.3
1992-05-18,944.4
1992-05-25,929.7
1992-06-01,944.0
