,coef_size
ue,1.5966863157899467
potus_party,1.3966502709185675
d_ffr,1.33270118269238
b0_loan,1.1865225795315997
b0_spx,1.162491732927154
pce,1.1465211169217024
cli,1.017511929024202
house,0.956814226008976
gdpd,0.9473894111517768
veloc,0.876465346314488
ffr,0.8350445514973281
d_veloc,0.8297678971466828
d_ue,0.7507698451654365
b1_usd,0.7503992118429101
cars,0.7173617335412084
b0_usd,0.6900951842788762
b1_loan,0.6807615103276201
exports,0.5827636469485813
mich,0.5787777203617072
rgdp,0.5181412661358048
d_rgdp,0.4906942498420287
d_cli,0.44176736415567647
fed_party,0.3916821137434628
mom,0.33528421482542853
b1_spx,0.3015596456533444
d_cars,0.2911201273462045
recess,0.17824663217401654
d_exports,0.1630458951794171
d_pce,0.14439284264639135
d_gdpd,0.11435552299270045
d_mich,0.11101201855230108
d_house,0.08829946537063019
