,coef_size
ue,1.663930601212306
b0_spx,1.5018415784971373
pce,1.4649227522318093
veloc,1.378822537123566
potus_party,1.3744523431520013
cli,1.3355891744970567
cars,1.1425837380726496
house,1.102899975089541
b0_loan,1.0246280657923201
ffr,1.006799420908682
gdpd,0.8441266214194285
rgdp,0.7666547093271293
b0_usd,0.7522660932749903
d_ffr,0.7290866040629966
d_veloc,0.6407639347025305
d_rgdp,0.5939692367735709
d_ue,0.5519166785805727
b1_usd,0.5508440663249023
d_cars,0.5232810153002071
fed_party,0.5166824396698051
exports,0.49799003706472905
mich,0.4426481706656474
d_house,0.3320507079389783
recess,0.2319571731837595
d_cli,0.2253776735661408
b1_spx,0.21703593756458664
mom,0.2156797634433796
d_exports,0.20761539331299675
b1_loan,0.17909169316472812
d_mich,0.15867521977150925
d_gdpd,0.059091161830397185
d_pce,0.054603957093916314
