,coef_size
ue,1.639560730146666
b0_spx,1.47826672729038
pce,1.454178933388116
cli,1.4240129946744915
veloc,1.3886680402854767
potus_party,1.3553492872473833
cars,1.1341965896438713
house,1.0884969472433625
b0_loan,1.0507335845221173
ffr,0.9786836814398999
gdpd,0.885481021682384
rgdp,0.8192550226216644
b0_usd,0.7625257862677471
d_ffr,0.632474525440319
d_veloc,0.5847976071487171
d_ue,0.5475579684071232
d_rgdp,0.5246175308828207
b1_usd,0.511237869898259
d_cars,0.502131409074506
fed_party,0.4969086984606425
mich,0.39934528370303896
exports,0.39531384642449174
b1_loan,0.2548154540783665
d_exports,0.2527756896830453
d_house,0.2523385860212733
recess,0.22094505256850833
d_cli,0.214874077469853
mom,0.2087216408304147
b1_spx,0.16690419082123312
d_mich,0.12782588659879518
d_pce,0.12180720329864532
d_gdpd,0.0588615138975223
