,coef_size
ue,1.6345933577939866
potus_party,1.4223165527447705
d_ffr,1.2843062919184451
b0_spx,1.207952100234979
b0_loan,1.174913700387438
pce,1.1304695349170262
house,0.9799755641070671
cli,0.9212930245816094
gdpd,0.9123557193664483
ffr,0.8699887198433606
veloc,0.8394661109828633
b1_usd,0.7907258932915198
d_veloc,0.778133870608373
b1_loan,0.7654093747115834
d_ue,0.7565097690787457
exports,0.7403443509677381
cars,0.7280588299277313
mich,0.6806722686361056
b0_usd,0.6760476446631122
d_rgdp,0.5086044891529343
rgdp,0.46142610128402256
fed_party,0.415609972500676
mom,0.38156900974588304
d_cli,0.34324668405408976
b1_spx,0.30771807599137535
d_cars,0.27105470474837434
d_mich,0.1738384792780163
recess,0.1664803699373972
d_pce,0.1412687781665899
d_exports,0.11085979664562831
d_house,0.10714574310001887
d_gdpd,0.10625100529655193
