,coef_size
ue,1.6634583127272295
potus_party,1.515802881310782
pce,1.4773925964407404
b0_spx,1.4537628186992069
veloc,1.4182989431963198
cars,1.2641310895007192
house,1.230996369443129
cli,1.187280213405393
gdpd,1.0320273266364783
b0_loan,0.9844911522197403
ffr,0.9018012346454609
b0_usd,0.6612297471534686
mom,0.6085088949674599
rgdp,0.5891810645898368
d_cars,0.5684112887911059
fed_party,0.48667961987587866
d_ue,0.45298225478691245
mich,0.44944956154381316
exports,0.4456715029910793
d_veloc,0.3694689881193723
recess,0.33411340761481995
d_cli,0.28797321647719704
b1_usd,0.266890858478585
d_mich,0.25290531018203016
b1_loan,0.25198193918857215
d_ffr,0.25080734406805577
d_pce,0.22223430378301878
d_exports,0.15682827770261662
d_house,0.14100219729461552
d_gdpd,0.13928796118459483
d_rgdp,0.08126471998899362
b1_spx,0.07541202314090788
