fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan,target
1.0,1.0,0.0,0.0,3.8,5.3,15.66,1279.0,99.69093,4.1,3.0,3.0,7.307,9.0,3.4,-0.1500000000000003,0.0999999999999996,-0.8870000000000005,-53.0,0.00260999999999,0.0,0.0,0.0,0.0,0.0,-0.1,352.01476338704424,102.61128474644252,10.5,-0.2051037101852462,-0.0230167292747173,0.0,1.0
1.0,1.0,0.0,0.0,3.92,5.4,13.37,1351.0,99.72887,6.2,0.8,2.9,7.283,9.0,3.5,0.1200000000000001,0.1000000000000005,-2.290000000000001,72.0,0.037940000000006,2.1000000000000005,-2.2,-0.1,-0.024,0.0,0.1,351.84606532857873,101.280681345519,10.5,-0.2489151632033781,-0.0722828624587936,0.0,1.0
1.0,1.0,0.0,0.0,3.94,5.4,13.55,1251.0,99.75903,6.2,0.8,2.9,7.283,8.5,3.5,0.0,0.1000000000000005,-0.0309999999999988,-159.0,0.0537599999999969,0.0,0.0,0.0,0.0,-0.5,-0.1,337.15442975490583,98.88117782130388,10.5,0.2034945564131886,-0.0507851736055274,0.0,0.0
1.0,1.0,0.0,-1.0,3.85,5.4,16.308,1551.0,99.79324,18.5,4.4,4.4,7.356,8.25,4.1,-0.0899999999999998,0.0,2.757999999999999,300.0,0.0342100000000016,12.3,3.6000000000000005,1.5000000000000004,0.0729999999999995,-0.25,0.5999999999999996,355.8278046579072,94.59843788018532,10.641414141414142,-0.4514684811987056,-0.04372861472134,-0.013722126929674,1.0
1.0,1.0,0.0,0.0,3.95,5.2,14.486,1289.0,99.82265,18.5,4.4,4.4,7.356,8.25,3.7,0.1,-0.2000000000000001,-1.8219999999999992,-262.0,0.0294099999999986,0.0,0.0,0.0,0.0,0.0,-0.3999999999999994,326.24384533403696,91.70182601980088,10.0,0.247458009627153,0.0432994106053534,0.0,1.0
1.0,1.0,0.0,0.0,3.8,5.4,14.022,1212.0,99.5741,5.1,1.5,4.6,7.391,8.25,3.4,-0.1500000000000003,0.2000000000000001,-0.4640000000000004,-77.0,-0.2485499999999945,-13.4,-2.9000000000000004,0.1999999999999993,0.0350000000000001,0.0,-0.3000000000000002,342.0311388420336,94.3019282434123,10.0,-0.1291484991982025,-0.0324487068549959,0.0,1.0
1.0,1.0,0.0,0.0,3.94,5.2,14.149,1177.0,99.28502,5.1,1.5,4.6,7.391,8.25,3.8,0.1400000000000001,-0.2000000000000001,0.1269999999999989,-35.0,-0.2890799999999984,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,349.5702516292482,91.67052630286427,10.0,0.2618493445287184,0.0173176748902084,0.0,1.0
1.0,1.0,1.0,0.0,4.14,5.7,13.859,1115.0,98.40642,3.1,0.3,3.5,7.377,8.25,4.6,0.1999999999999997,0.5,-0.2899999999999991,-62.0,-0.8786000000000058,-2.0,-1.2,-1.0999999999999996,-0.0140000000000002,0.0,0.7999999999999998,364.4433403451836,91.96960162538473,10.0,-0.3816635233619357,-0.0968682668812051,0.0,1.0
1.0,1.0,1.0,0.0,4.13,5.9,14.298,1110.0,97.9221,3.1,0.3,3.5,7.377,8.0,4.7,-0.0099999999999997,0.2000000000000001,0.439,-5.0,-0.4843199999999967,0.0,0.0,0.0,0.0,-0.25,0.1000000000000005,338.111373418429,86.9513952390112,10.0,-0.5359708442491691,-0.0256920417740569,0.0,1.0
1.0,1.0,1.0,0.0,3.88,6.2,13.134,1145.0,97.21283,3.6,-3.6,3.0,7.303,8.0,4.7,-0.25,0.2999999999999998,-1.1639999999999997,35.0,-0.7092700000000036,0.5,-3.9,-0.5,-0.0739999999999998,0.0,0.0,311.5315270009667,86.20793214020907,10.0,-0.1025034510977999,-0.0845900369640166,0.0,0.0
1.0,1.0,1.0,-1.0,3.84,6.3,12.958,969.0,97.09945,3.6,-3.6,3.0,7.303,7.5,4.7,-0.1699999999999999,0.3999999999999994,-0.7910000000000004,-45.0,-0.402709999999999,0.0,0.0,0.0,0.0,-0.5,-0.0999999999999996,305.4806246465304,82.44157606439558,10.0,0.3773349710344154,-0.0047764537673871,0.0,0.0
1.0,1.0,1.0,-1.0,3.82,6.4,11.829,798.0,97.16149,2.5,-1.9,4.0,7.247,7.0,3.9,-0.02,0.1000000000000005,-1.1289999999999996,-171.0,0.0620399999999961,-1.1,1.7000000000000002,1.0,-0.056,-0.5,-0.8000000000000003,326.23989342069785,83.21512307831735,10.097643097643097,0.0257553283796096,0.0046354566820921,-0.0138174194777968,1.0
1.0,1.0,1.0,0.0,3.43,6.8,12.848,921.0,97.7066,2.5,-1.9,4.0,7.247,6.25,3.3,-0.3899999999999997,0.3999999999999994,1.019,123.0,0.545109999999994,0.0,0.0,0.0,0.0,-0.75,-0.6000000000000001,344.0878715540825,80.12896924259687,9.314814814814817,0.6955799658956904,0.1316950637180509,-0.0083857442348008,1.0
1.0,1.0,0.0,0.0,3.45,6.9,12.487,996.0,98.4444,15.4,3.2,3.0,7.212,6.0,3.1,0.02,0.1000000000000005,-0.3610000000000006,75.0,0.7378000000000071,12.9,5.1,-1.0,-0.0350000000000001,-0.25,-0.1999999999999997,371.14242276278407,89.04181826813053,9.101346801346802,0.2296150022855327,0.079952349189306,-0.006270249666476,1.0
1.0,1.0,0.0,0.0,3.23,6.9,12.719,1036.0,98.7811,15.4,3.2,3.0,7.212,5.75,3.3,-0.2200000000000002,0.0,0.2319999999999993,40.0,0.3366999999999933,0.0,0.0,0.0,0.0,-0.25,0.1999999999999997,377.834159897313,91.24791171398226,8.5,0.0237633069901549,0.0878425968926999,0.0,1.0
1.0,1.0,0.0,0.0,2.91,6.9,12.565,1049.0,99.17667,9.8,2.0,3.2,7.166,5.75,3.2,-0.3199999999999998,0.0,-0.1539999999999999,13.0,0.3955700000000064,-5.6,-1.2000000000000002,0.2000000000000001,-0.0459999999999993,0.0,-0.0999999999999996,371.81619412714383,96.87944739242194,8.5,0.3331484225174804,-0.0836199615577392,0.0,1.0
1.0,1.0,0.0,0.0,2.9,6.9,13.107,1015.0,99.20341,9.8,2.0,3.2,7.166,5.5,3.0,-0.0100000000000002,0.0,0.5419999999999998,-34.0,0.0267400000000037,0.0,0.0,0.0,0.0,-0.25,-0.2000000000000001,389.22607417764885,94.10039004958438,8.643434343434343,-0.018174741035056,-0.0593718444230966,-0.0096054888507718,1.0
1.0,1.0,0.0,0.0,2.83,7.0,12.217,1079.0,99.1512,9.3,1.4,2.4,7.058,5.25,3.2,-0.0699999999999998,0.0999999999999996,-0.8899999999999988,64.0,-0.0522100000000023,-0.5,-0.6000000000000001,-0.8000000000000003,-0.1080000000000005,-0.25,0.2000000000000001,385.8076978484388,90.79572999999178,8.230976430976432,0.0166487841917857,-0.0025153373658646,-0.006270249666476,0.0
1.0,1.0,0.0,-1.0,3.0,7.3,12.658,1079.0,99.03893,9.3,1.4,2.4,7.058,4.75,2.7,0.1699999999999999,0.2999999999999998,0.4409999999999989,0.0,-0.1122700000000094,0.0,0.0,0.0,0.0,-0.5,-0.5,393.5007358332676,90.9810233376243,8.011784511784512,-0.3194057597645087,-0.0945180007065048,-0.0126739089003239,1.0
1.0,1.0,0.0,0.0,2.88,7.3,12.591,1176.0,99.08805,7.4,4.9,1.5,6.886,4.5,2.7,-0.1200000000000001,0.0,-0.0670000000000001,97.0,0.049120000000002,-1.9000000000000004,3.5000000000000004,-0.8999999999999999,-0.1719999999999997,-0.25,0.0,382.38418918185766,84.7584982977973,7.410437710437711,0.8472562585986635,0.0263320155113747,-0.0231751477034495,1.0
1.0,1.0,0.0,0.0,2.99,7.4,12.824,1297.0,99.38452,7.4,4.9,1.5,6.886,4.0,2.6,0.1100000000000003,0.1000000000000005,0.2330000000000005,121.0,0.2964699999999993,0.0,0.0,0.0,0.0,-0.5,-0.1,412.7566899257878,86.54756132183653,6.5,-0.0953677224504028,0.094131162049817,0.0,1.0
1.0,1.0,0.0,0.0,2.8,7.6,13.098,1214.0,99.63816,0.2,4.4,2.4,6.814,4.0,2.9,-0.1900000000000004,0.1999999999999993,0.2740000000000009,-83.0,0.2536400000000043,-7.2,-0.5,0.8999999999999999,-0.072,0.0,0.2999999999999998,403.1646442657368,90.17788568875604,6.5,0.2338708219242839,-0.0179984666879957,0.0,1.0
1.0,1.0,0.0,0.0,2.8,7.8,13.543,1145.0,99.66827,0.2,4.4,2.4,6.814,3.75,3.1,0.0,0.2000000000000001,0.4449999999999985,-69.0,0.0301100000000076,0.0,0.0,0.0,0.0,-0.25,0.2000000000000001,417.6803879863084,89.2213597101796,6.5,-0.2157029230616902,-0.0723853240495684,0.0,0.0
1.0,1.0,0.0,-1.0,2.75,7.6,12.873,1226.0,99.64877,8.8,4.0,2.0,6.735,3.25,2.8,-0.0499999999999998,-0.2000000000000001,-0.6699999999999999,81.0,-0.0195000000000078,8.600000000000001,-0.4000000000000003,-0.3999999999999999,-0.0789999999999997,-0.5,-0.3000000000000002,404.2769527961911,84.56033668903389,6.389562289562289,0.3547271745964208,-0.0648065260575797,-0.0101581856298837,1.0
1.0,1.0,0.0,0.0,2.61,7.6,13.378,1186.0,99.68358,8.8,4.0,2.0,6.735,3.25,3.0,-0.1400000000000001,0.0,0.5050000000000008,-40.0,0.0348100000000073,0.0,0.0,0.0,0.0,0.0,0.2000000000000001,417.3337533867319,79.7391603514803,6.0,0.0142259199732441,0.0577605509044602,0.0,1.0
1.0,1.0,0.0,0.0,2.61,7.4,13.218,1214.0,99.9353,2.0,4.2,2.8,6.584,3.0,2.9,0.0,-0.1999999999999993,-0.1600000000000001,28.0,0.2517199999999917,-6.800000000000001,0.2000000000000001,0.7999999999999998,-0.1510000000000007,-0.25,-0.1,413.36191605590415,81.87206624862722,6.0,0.0524923386745546,0.1339821046480614,0.0,1.0
1.0,1.0,0.0,0.0,2.5,7.4,13.784,1227.0,100.0685,2.0,4.2,2.8,6.584,3.0,2.8,-0.1400000000000001,0.1000000000000005,0.1290000000000013,-17.0,0.2818900000000042,0.0,0.0,0.0,0.0,0.0,0.0,414.5395366424663,87.95703817553793,6.0,0.3958804642924674,0.058364745442336,0.0,1.0
1.0,0.0,0.0,0.0,2.5,7.3,13.457,1210.0,100.1335,0.9,0.7,2.3,6.508,3.0,2.9,0.0,-0.1000000000000005,-0.3269999999999999,-17.0,0.0649999999999977,-1.1,-3.5,-0.5,-0.0759999999999996,0.0,0.1,435.7953540121264,89.94102265329073,6.0,0.0005735501666876,0.055440107272515,0.0,1.0
1.0,0.0,0.0,0.0,2.45,7.0,13.326,1083.0,100.0243,0.9,0.7,2.3,6.508,3.0,3.1,-0.0499999999999998,-0.2999999999999998,-0.1310000000000002,-127.0,-0.1092000000000013,0.0,0.0,0.0,0.0,0.0,0.2000000000000001,438.2298353201612,92.35008103084886,6.0,0.2043666204907265,0.0435608980336232,0.0,1.0
1.0,0.0,0.0,0.0,2.57,7.1,14.519,1260.0,99.73032,4.9,2.3,2.4,6.406,3.0,2.9,0.1199999999999996,0.0999999999999996,1.1929999999999996,177.0,-0.2939799999999906,4.0,1.6,0.1,-0.1020000000000003,0.0,-0.2000000000000001,449.03928917265097,93.03688884696577,6.0,-0.174431590186952,-0.08185325813039,0.0,1.0
1.0,0.0,0.0,0.0,2.54,7.0,14.49,1280.0,99.59711,4.9,2.3,2.4,6.406,3.0,3.5,-0.0299999999999998,-0.0999999999999996,-0.0289999999999999,20.0,-0.1332100000000053,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,444.50748539677375,89.21091539787524,6.0,0.0876490179097878,0.0690150893981826,0.0,1.0
1.0,0.0,0.0,0.0,2.49,6.8,13.584,1300.0,99.53692,-1.1,1.9,2.4,6.289,3.0,3.2,-0.0499999999999998,-0.2000000000000001,-0.9060000000000006,20.0,-0.0601900000000057,-6.0,-0.3999999999999999,0.0,-0.1169999999999999,0.0,-0.2999999999999998,445.8111011851918,93.35439949420967,6.0,0.0601540526413157,0.0316648933668011,0.0,1.0
1.0,0.0,0.0,0.0,2.53,6.7,13.99,1343.0,99.64192,-1.1,1.9,2.4,6.289,3.0,3.0,0.0299999999999998,-0.2000000000000001,-0.4610000000000003,89.0,0.1179300000000012,0.0,0.0,0.0,0.0,0.0,0.0,445.8104332509667,95.66187120944964,6.0,0.3341276232437877,-0.0761432729858841,0.0,1.0
1.0,0.0,0.0,0.0,2.43,6.6,14.882,1376.0,100.0666,13.5,5.6,2.2,6.25,3.0,2.8,-0.0999999999999996,-0.1000000000000005,0.8919999999999995,33.0,0.424679999999995,14.6,3.7,-0.1999999999999997,-0.0389999999999997,0.0,-0.2000000000000001,458.50369349007656,91.28909173830591,6.0,0.1384139465017957,0.0730950700321127,0.0,1.0
1.0,0.0,0.0,0.0,2.4,6.5,15.004,1533.0,100.3299,13.5,5.6,2.2,6.25,3.0,3.0,-0.0900000000000003,-0.2999999999999998,0.0929999999999999,141.0,0.5009799999999984,0.0,0.0,0.0,0.0,0.0,-0.2999999999999998,463.9183999623514,94.72019498677366,6.0,-0.0064805179317495,0.0218654637657531,0.0,1.0
1.0,0.0,0.0,0.0,2.36,6.6,15.379,1272.0,100.5764,4.0,3.9,1.9,6.264,3.0,2.8,-0.04,0.0999999999999996,0.375,-261.0,0.2465000000000117,-9.5,-1.6999999999999995,-0.3000000000000002,0.0140000000000002,0.0,-0.2000000000000001,463.1715103303543,95.20923355564926,6.0,0.2248766815319316,0.0292951813238517,0.0,2.0
1.0,0.0,0.0,1.0,2.41,6.5,15.301,1564.0,100.9285,4.0,3.9,1.9,6.264,3.25,3.0,0.0500000000000002,-0.0999999999999996,-0.0779999999999994,292.0,0.352099999999993,0.0,0.0,0.0,0.0,0.25,0.2000000000000001,477.0567483099221,96.75892842610678,6.0,-0.2508206593779033,-0.0478211856738077,0.0,2.0
1.0,0.0,0.0,1.0,2.27,6.1,14.577,1526.0,101.0682,14.2,5.5,1.9,6.339,3.5,3.1,-0.1400000000000001,-0.4000000000000003,-0.7240000000000002,-38.0,0.1397000000000048,10.2,1.6,0.0,0.0750000000000001,0.25,0.1,460.5795647515191,94.7719791861897,5.978956228956229,-0.3258466228749014,-0.0351061242817697,0.0163426720030493,2.0
1.0,0.0,0.0,1.0,2.34,6.1,15.109,1409.0,101.0648,14.2,5.5,1.9,6.339,4.25,2.7,0.0699999999999998,0.0,0.532,-117.0,-0.0033999999999991,0.0,0.0,0.0,0.0,0.75,-0.3999999999999999,450.1366180522674,93.66297681917644,6.909259259259259,0.1205190168191349,-0.0558845294641951,0.0090146750524108,1.0
1.0,0.0,0.0,0.0,2.34,6.0,15.359,1450.0,100.9774,15.8,2.4,2.3,6.369,4.25,3.1,0.0,-0.0999999999999996,0.25,41.0,-0.0874000000000023,1.6000000000000014,-3.1,0.3999999999999999,0.0299999999999993,0.0,0.3999999999999999,448.0797589953901,89.91091581916167,7.25,0.1618120406136087,-0.0133958473736294,0.0,2.0
1.0,0.0,0.0,1.0,2.32,5.9,15.274,1474.0,100.9099,15.8,2.4,2.3,6.369,4.75,3.4,-0.0300000000000002,-0.1999999999999993,0.3989999999999991,35.0,-0.1196000000000054,0.0,0.0,0.0,0.0,0.5,0.5,457.4511016331939,89.88733373571326,7.238215488215489,0.3191338153982339,-0.0405283290135285,0.0126739089003239,1.0
1.0,0.0,0.0,0.0,2.28,5.6,15.89,1511.0,100.683,9.6,4.7,2.2,6.479,4.75,3.2,-0.04,-0.3000000000000007,0.6160000000000014,37.0,-0.2268999999999863,-6.200000000000001,2.3000000000000003,-0.0999999999999996,0.1100000000000003,0.0,-0.1999999999999997,462.9847392175334,88.16449079930983,7.75,0.0557610859479223,-0.0472204951029494,0.0,2.0
1.0,0.0,0.0,1.0,2.25,5.5,15.584,1455.0,100.4894,9.6,4.7,2.2,6.479,5.5,3.0,-0.0099999999999997,-0.2999999999999998,-0.3100000000000005,5.0,-0.3301000000000016,0.0,0.0,0.0,0.0,0.75,0.0,470.5744743783867,85.10257806745844,7.5873737373737375,-0.415584611174763,0.0952346179424886,0.0208118925100057,1.0
1.0,0.0,0.0,0.0,2.35,5.6,14.801,1407.0,100.233,7.9,1.4,2.2,6.55,5.5,3.0,0.1,0.0999999999999996,-0.7829999999999995,-48.0,-0.2563999999999993,-1.6999999999999993,-3.3000000000000003,0.0,0.0709999999999997,0.0,0.0,450.3879255198469,90.08959459503892,8.5,0.3301899087890249,-0.0405717259751107,0.0,2.0
1.0,0.0,0.0,1.0,2.25,5.4,15.256,1249.0,99.5694,7.9,1.4,2.2,6.55,6.0,3.2,-0.1,-0.1999999999999993,0.455,-158.0,-0.6636000000000024,0.0,0.0,0.0,0.0,0.5,0.2000000000000001,472.36718819871896,88.8175163140602,8.7989898989899,0.4138657834703909,-0.1086274094869687,0.0054888507718696,1.0
1.0,0.0,0.0,0.0,2.27,5.6,14.806,1314.0,98.99206,5.7,1.2,1.9,6.614,6.0,3.0,0.02,0.1999999999999993,-0.450000000000001,65.0,-0.5773400000000066,-2.2,-0.1999999999999999,-0.3000000000000002,0.064,0.0,-0.2000000000000001,497.4820791944511,82.36512511282257,9.0,0.5015218133855504,-0.0119473954075878,0.0,1.0
1.0,0.0,0.0,0.0,2.19,5.6,15.407,1281.0,98.82222,5.7,1.2,1.9,6.614,6.0,2.9,-0.08,0.0,0.6010000000000009,-33.0,-0.1698399999999935,0.0,0.0,0.0,0.0,0.0,-0.1,518.3361521300242,83.13989937522194,9.0,0.5040586506091278,-0.0256355979225852,0.0,0.0
1.0,0.0,0.0,-1.0,2.21,5.7,15.368,1416.0,98.66234,18.5,3.5,2.0,6.714,5.75,2.9,0.02,0.1000000000000005,-0.0389999999999997,135.0,-0.1598800000000011,12.8,2.3,0.1,0.1000000000000005,-0.25,0.0,548.1957104409986,81.28767792672822,8.967171717171718,0.2681633087210548,0.0263350323720139,-0.0055746140651801,1.0
1.0,0.0,0.0,0.0,2.23,5.6,15.338,1369.0,98.60894,18.5,3.5,2.0,6.714,5.75,2.8,0.0699999999999998,-0.1000000000000005,0.6379999999999999,-92.0,-0.11493999999999,0.0,0.0,0.0,0.0,0.0,-0.1,554.0372129909117,81.97949543962575,8.75,0.3864153795658531,0.1050924357491855,0.0,1.0
1.0,0.0,0.0,0.0,2.27,5.6,15.38,1452.0,98.54256,5.8,2.7,1.9,6.86,5.75,2.8,0.04,0.0,0.0420000000000015,83.0,-0.0663800000000094,-12.7,-0.7999999999999998,-0.1,0.1459999999999999,0.0,0.0,581.9494154188369,85.36724528816814,8.75,0.0719786190136923,-0.0382538269287248,0.0,1.0
1.0,0.0,0.0,0.0,2.31,5.6,16.262,1431.0,98.5592,5.8,2.7,1.9,6.86,5.75,2.7,-0.0099999999999997,0.0999999999999996,1.4009999999999998,62.0,-0.0048799999999999,0.0,0.0,0.0,0.0,0.0,-0.1999999999999997,578.3346914374869,83.30733386723682,8.75,0.6914371060807066,0.0310230604825711,0.0,0.0
1.0,0.0,0.0,-1.0,2.25,5.6,14.812,1467.0,98.62561,4.9,3.0,1.9,7.016,5.5,2.8,-0.06,0.0,-1.450000000000001,36.0,0.0664099999999905,-0.8999999999999995,0.2999999999999998,0.0,0.1559999999999997,-0.25,0.0999999999999996,616.1819070013283,84.66653194748594,8.755892255892256,-0.131532411191812,0.0208156995008122,-0.0063369544501619,0.0
1.0,0.0,0.0,-1.0,2.26,5.5,16.044,1424.0,98.91733,4.9,3.0,1.9,7.016,5.25,2.9,0.0099999999999997,-0.0999999999999996,1.232000000000001,-43.0,0.2917200000000122,0.0,0.0,0.0,0.0,-0.25,0.1,639.0432928733954,87.03383958090836,8.365488215488215,0.1961092513244175,-0.0202077590421833,-0.003135124833238,1.0
1.0,0.0,0.0,0.0,2.25,5.6,15.993,1504.0,99.26136,6.7,6.8,1.7,7.18,5.25,3.1,-0.0099999999999997,0.0999999999999996,-0.0510000000000001,80.0,0.3440299999999894,1.7999999999999998,3.8,-0.1999999999999999,0.1639999999999997,0.0,0.2000000000000001,648.2984265260022,86.3849832913691,8.25,-0.0217365210365744,0.0349132630173901,0.0,1.0
1.0,0.0,0.0,0.0,2.29,5.3,15.256,1467.0,99.39669,6.7,6.8,1.7,7.18,5.25,2.9,0.04,-0.2999999999999998,-0.7370000000000001,-37.0,0.1353300000000104,0.0,0.0,0.0,0.0,0.0,-0.2000000000000001,655.6398694792982,88.11486649432969,8.25,0.3647777175685213,0.0019966345049663,0.0,1.0
1.0,0.0,0.0,0.0,2.31,5.1,15.486,1557.0,99.56683,3.3,3.6,1.3,7.369,5.25,3.1,0.02,-0.2000000000000001,0.2300000000000004,90.0,0.1701399999999893,-3.4000000000000004,-3.2,-0.3999999999999999,0.189,0.0,0.2000000000000001,662.2735324435764,88.36087610007135,8.25,-0.3358495940202435,-0.045805235292563,0.0,1.0
1.0,0.0,0.0,0.0,2.36,5.2,15.534,1475.0,99.63841,3.3,3.6,1.3,7.369,5.25,3.2,0.04,-0.2999999999999998,0.4600000000000008,3.0,0.1468499999999863,0.0,0.0,0.0,0.0,0.0,0.2000000000000001,647.6529153021097,86.04835016526759,8.25,0.446389010331052,0.0204535907260435,0.0,1.0
