,ffr,change,decision,cars,cli,exports,fed_party,gdpg,house,loan,pce,potus_party,recess,rgdp,spx,ue,usd,veloc
0,9.25,-25.0,-1.0,14.435833333333333,99.78497499999997,16.26666666666667,1.0,4.083333333333333,1402.0,11.0,4.115000000000001,1.0,0.0,3.0833333333333335,323.32100321222657,5.283333333333331,102.62233327229818,7.245333333333331
1,9.0,0.0,0.0,15.991400000000006,99.69755400000004,4.099999999999999,1.0,3.0,1360.5,10.633333333333333,3.977000000000001,1.0,0.0,3.0,343.5139994246093,5.199999999999998,99.64466679879557,7.306999999999998
2,9.0,0.0,0.0,15.521400000000005,99.69188600000003,4.239999999999999,1.0,2.9933333333333336,1287.7333333333333,10.5,3.8093333333333326,1.0,0.0,2.853333333333333,347.7076670351692,5.300000000000002,101.61066741962956,7.305399999999997
3,8.5,0.0,0.0,13.489566666666667,99.71549666666665,6.199999999999998,1.0,2.900000000000001,1384.4333333333334,10.5,3.931333333333334,1.0,0.0,0.8000000000000003,339.6376668305729,5.343333333333335,98.35500005113737,7.282999999999998
4,8.25,-25.0,-1.0,13.478000000000002,99.74696600000003,6.199999999999998,1.0,2.900000000000001,1291.0,10.5,3.9319999999999995,1.0,0.0,0.8000000000000003,347.0140004464453,5.400000000000002,96.17433395436522,7.282999999999998
5,8.25,0.0,0.0,15.919,99.79931,18.5,1.0,4.400000000000001,1528.2,10.0,3.843999999999999,1.0,0.0,4.400000000000001,334.86266581332035,5.3800000000000034,92.68433405515886,7.355999999999998
6,8.25,0.0,0.0,14.469599999999998,99.82277533333334,18.5,1.0,4.400000000000001,1308.7333333333333,10.0,3.9326666666666674,1.0,0.0,4.400000000000001,336.73900146255204,5.213333333333332,93.8213343299043,7.355999999999998
7,8.25,0.0,0.0,14.160133333333333,99.6661693333333,5.099999999999999,1.0,4.599999999999999,1231.2,10.0,3.8533333333333326,1.0,0.0,1.5,338.66199849446616,5.400000000000002,92.61899948085093,7.390999999999999
8,8.25,0.0,0.0,14.1422,99.24504599999997,4.8999999999999995,1.0,4.489999999999999,1176.4,10.0,3.9419999999999993,1.0,0.0,1.3799999999999997,359.826665242513,5.2299999999999995,92.14533335388606,7.389600000000001
9,8.0,0.0,0.0,13.932999999999996,98.56603999999996,3.099999999999999,1.0,3.5,1133.6666666666667,10.0,4.08,1.0,0.6666666666666666,0.30000000000000004,343.86999613558595,5.63333333333333,87.50033391302995,7.377000000000002
10,8.0,0.0,0.0,14.2797,97.90810199999996,3.116666666666666,1.0,3.4833333333333334,1106.8,10.0,4.1259999999999994,1.0,1.0,0.17000000000000004,315.5996653250391,5.900000000000002,86.011666870459,7.374533333333335
11,7.5,-25.0,-1.0,13.503000000000005,97.38642799999998,3.599999999999999,1.0,3.0,1066.4,10.0,3.957999999999999,1.0,1.0,-3.599999999999999,308.70600077196616,6.019999999999998,82.52400029510547,7.302999999999999
12,7.0,-25.0,-1.0,13.040133333333339,97.1523606666667,3.599999999999999,1.0,3.0,1051.1333333333334,10.0,3.858666666666667,1.0,1.0,-3.599999999999999,322.33000386670574,6.253333333333336,82.27966639183593,7.302999999999999
13,6.25,0.0,0.0,11.925666666666666,97.198155,2.5,1.0,4.0,825.8333333333334,9.466666666666667,3.805,1.0,1.0,-1.8999999999999995,329.57100117886716,6.433333333333334,83.08899993892969,7.2470000000000026
14,6.0,0.0,0.0,12.774833333333337,97.65241333333331,2.5,1.0,4.0,928.3333333333334,9.0,3.4800000000000018,1.0,1.0,-1.8999999999999995,370.74066772460935,6.766666666666668,86.615333557541,7.2470000000000026
15,5.75,0.0,0.0,12.232566666666672,98.23523199999997,15.399999999999997,1.0,3.0,998.8333333333334,8.783333333333333,3.3933333333333335,1.0,0.0,3.200000000000001,380.5949991873438,6.786666666666667,92.35799992863151,7.211999999999998
16,5.75,0.0,0.0,12.744299999999997,98.80680200000003,14.84,1.0,3.0200000000000005,1038.7,8.5,3.2169999999999996,1.0,0.0,3.0800000000000005,377.5926666248307,6.890000000000002,95.46366653458985,7.207399999999998
17,5.5,0.0,0.0,12.714233333333333,99.1258683333333,9.800000000000002,1.0,3.200000000000001,1054.1333333333334,8.5,2.9796666666666662,1.0,0.0,2.0,385.40732930501304,6.863333333333334,93.47499949143229,7.1659999999999995
18,5.25,0.0,0.0,13.106999999999994,99.20341000000002,9.800000000000002,1.0,3.200000000000001,1015.0,8.2,2.900000000000001,1.0,0.0,2.0,387.5950002023047,6.900000000000002,91.1916664123099,7.1659999999999995
19,4.75,-25.0,-1.0,12.26486666666667,99.14103199999998,9.300000000000002,1.0,2.4000000000000004,1082.2,8.0,2.8486666666666665,1.0,0.0,1.3999999999999995,387.23100280876304,7.0,90.4779993692246,7.057999999999998
20,4.5,0.0,0.0,12.619733333333336,99.0557346666667,9.300000000000002,1.0,2.4000000000000004,1090.2,7.5,2.986,1.0,0.0,1.3999999999999995,379.2250010172526,7.160000000000002,86.93733367916407,7.057999999999998
21,4.0,0.0,0.0,12.635800000000001,99.10483533333333,7.400000000000002,1.0,1.5,1185.8666666666666,6.5,2.882666666666667,1.0,0.0,4.900000000000001,415.22899780158855,7.313333333333334,86.39366709405013,6.885999999999999
22,4.0,0.0,0.0,12.824000000000003,99.38452000000001,7.400000000000002,1.0,1.5,1297.0,6.5,2.9899999999999993,1.0,0.0,4.900000000000001,407.37299906527346,7.400000000000002,90.3193333941289,6.885999999999999
